# nu      SYN SPN       SSC Sari Esin     Syn flux       IC flux     Total spectrum     Total spectrum with pp
  9.4309852e+23   5.7703849e-38   1.3023812e-37   4.8643679e-86   4.6729616e-38    4.6199347e-38      4.6194524e-38
  1.2198219e+24   4.2924428e-38   1.0805087e-37  2.7284024e-100   3.7492472e-38    3.7067022e-38      3.7061963e-38
  1.5777413e+24   3.1930392e-38   8.9608576e-38  1.0068568e-118   2.9985991e-38    2.9645722e-38      2.9640446e-38
  2.0406811e+24   2.3752208e-38   7.4283980e-38  1.4495577e-142   2.3873094e-38    2.3602191e-38      2.3596728e-38
  2.6394564e+24   1.7668665e-38   6.1554208e-38  2.1072407e-173   1.8944753e-38    1.8729775e-38      1.8724151e-38
  3.4139241e+24   1.3143271e-38   5.0983491e-38  2.7399328e-213   1.4943358e-38    1.4773786e-38      1.4768047e-38
  4.4156355e+24   9.7769458e-39   4.2208740e-38  7.0526109e-265   1.1749959e-38    1.1616625e-38      1.1610804e-38
  5.7112685e+24   7.2728218e-39   3.4927491e-38   0.0000000e+00   9.1733958e-39    9.0692997e-39      9.0634540e-39
  7.3870652e+24   5.4100675e-39   2.8887847e-38   0.0000000e+00   7.1349285e-39    7.0539642e-39      7.0481340e-39
  9.5545732e+24   4.0244119e-39   2.3880075e-38   0.0000000e+00   5.5072706e-39    5.4447763e-39      5.4390234e-39
  1.2358070e+25   2.9936578e-39   1.9729595e-38   0.0000000e+00   4.2278660e-39    4.1798899e-39      4.1742618e-39
  1.5984167e+25   2.2269060e-39   1.6291125e-38   0.0000000e+00   3.2211689e-39    3.1846164e-39      3.1791693e-39
  2.0674231e+25   1.6565389e-39   1.3443798e-38   0.0000000e+00   2.4362174e-39    2.4085722e-39      2.4033558e-39
  2.6740451e+25   1.2322572e-39   1.1087089e-38   0.0000000e+00   1.8297720e-39    1.8090085e-39      1.8040637e-39
  3.4586617e+25   9.1664486e-40   9.1374137e-39   0.0000000e+00   1.3609939e-39    1.3455499e-39      1.3409231e-39
  4.4735000e+25   6.8186884e-40   7.5252981e-39   0.0000000e+00   1.0051733e-39    9.9376699e-40      9.8948227e-40
  5.7861115e+25   5.0722492e-40   6.1930120e-39   0.0000000e+00   7.3435827e-40    7.2602507e-40      7.2211280e-40
  7.4838687e+25   3.7731174e-40   5.0926007e-39   0.0000000e+00   5.3270233e-40    5.2665743e-40      5.2312209e-40
  9.6797807e+25   2.8067263e-40   4.1842431e-39   0.0000000e+00   3.8152546e-40    3.7719606e-40      3.7405198e-40
  1.2520016e+26   2.0878524e-40   3.4348840e-39   0.0000000e+00   2.7182208e-40    2.6873755e-40      2.6596496e-40
